Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
17.08.2017	250 396	138 541			1	3 760
10.02.2017	2 347 450	6 062	1	3 730		
13.01.2017	4 063 152	6 062	1	3 635		
13.02.2017	2 347 450	6 062			1	3 730
16.02.2017	352 734	81 901	1	9 020		
13.06.2017	3 977 350	118 601	1	8 440		
13.06.2017	3 977 350	118 610	1	14 035		
27.02.2017	5 138 780	132 854	1	4 550		
01.03.2017	4 982 069	132 941	1	615		
18.01.2017	2 144 453	132 941	1	615		
17.07.2017	1 534 817	139 960	1	5 445		
07.09.2017	2 458 436	140 011	1	1 410		
08.09.2017	2 458 436	140 011			1	1 410
10.02.2017	5 790 335	27 638	2	8 835		
17.01.2017	690 978	27 638	1	4 995		
13.02.2017	5 790 335	27 638			1	4 600
13.02.2017	1 175 957	27 638			1	4 000
09.02.2017	1 175 957	27 638	1	4 260		
20.01.2017	1 888 760	73 474	1	2 795		
09.06.2017	3 367 285	73 474	1	2 660		
07.03.2017	5 895 145	73 474	1	2 830		
27.07.2017	1 138 919	73 474			1	2 695
05.01.2017	1 645 209	73 474	1	2 585		
20.04.2017	2 931 756	73 474	1	2 555		
26.07.2017	1 138 919	73 474	1	2 695		
19.06.2017	1 580 176	73 475	1	8 680		
24.07.2017	2 229 642	96 249	1	3 495		
31.07.2017	3 603 133	96 382	1	38 705		
01.08.2017	3 603 133	96 382			1	38 705
08.06.2017	1 931 003	117 589			1	7 920
05.07.2017	4 655 878	117 589	1	8 175		
07.06.2017	1 931 003	117 589	1	7 920		
28.02.2017	4 180 816	124 604	1	11 025		
25.07.2017	5 258 623	124 604	1	11 435		
08.02.2017	4 851 632	124 610	1	11 385		
13.04.2017	5 121 198	124 610	1	13 660		
20.01.2017	4 476 162	124 700	1	4 640		
18.08.2017	775 217	124 700	1	5 105		
24.03.2017	4 080 690	124 721	1	7 295		
10.08.2017	4 453 171	138 965	1	159 705		
21.08.2017	4 453 171	138 965			1	159 705
13.04.2017	1 998 920	132 638			1	2 800
12.04.2017	1 998 920	132 638	1	2 800		
21.08.2017	1 360 660	139 555	1	770		
21.03.2017	3 414 817	66 889	1	1 410		
06.07.2017	4 655 878	118 223			1	11 585
05.07.2017	4 655 878	118 223	1	11 585		
08.03.2017	4 341 401	132 619	1	2 015		
18.01.2017	2 073 953	132 619	1	2 015		
14.03.2017	3 045 814	132 644	1	1 400		
14.03.2017	5 767 093	35 090	1	5 755		
14.02.2017	5 975 440	124 289	1	5 040		
01.02.2017	3 320 990	124 426	1	2 455		
10.04.2017	4 301 825	124 493	1	14 335		
05.05.2017	4 951 284	131 437	1	1 295		
24.03.2017	3 953 939	131 457	1	2 015		
