
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
ЗЧ и РМ	29.04.2016 23:59:59	Дилер	84 115,57	86 409,94	6
ЗЧ и РМ	29.04.2016 23:59:59	Розница	201 169,33	634 859,02	20
Компрессорное	29.04.2016 23:59:59	Дилер	285 479,03	285 479,03	3
Компрессорное	29.04.2016 23:59:59	Розница	548 574,78	553 245,34	8
Насосное	29.04.2016 23:59:59	Дилер	308 186,13	320 782,20	7
Насосное	29.04.2016 23:59:59	Розница	646 933,43	710 641,63	8
Подготовка поверхности	29.04.2016 23:59:59	Дилер	20 700,00	20 700,00	1
Подготовка поверхности	29.04.2016 23:59:59	Розница	432 100,06	432 100,06	6
Сварочное	29.04.2016 23:59:59	Дилер	21 815,94	23 135,90	1
Сварочное	29.04.2016 23:59:59	КПК		657 486,56	1
Сварочное	29.04.2016 23:59:59	Розница	91 381,88	93 570,24	4
Строительное	29.04.2016 23:59:59	Розница	136 599,00	136 598,98	2
Химическое	29.04.2016 23:59:59	Дилер	125 075,56	61 319,73	1
Химическое	29.04.2016 23:59:59	Розница		827 025,48	3
АТП	04.05.2016 23:59:59	Розница	122 462,02	51 516,29	1
Дуговая сварка.	04.05.2016 23:59:59	Розница	499,14	499,14	1
ЗЧ и РМ	04.05.2016 23:59:59	Дилер	47 478,63	48 074,17	9
ЗЧ и РМ	04.05.2016 23:59:59	КПК		330 252,50	2
ЗЧ и РМ	04.05.2016 23:59:59	Розница	133 115,42	78 235,94	9
Компрессорное	04.05.2016 23:59:59	Дилер	136 900,00	136 900,00	2
Компрессорное	04.05.2016 23:59:59	Розница	3 523 097,58	3 523 395,10	6
Насосное	04.05.2016 23:59:59	Дилер	3 767 862,74	3 197 779,04	14
Насосное	04.05.2016 23:59:59	Розница	1 021 104,20	1 065 076,55	6
Подготовка поверхности	04.05.2016 23:59:59	Дилер	31 257,35	31 257,35	3
Подготовка поверхности	04.05.2016 23:59:59	Розница	510 279,91	510 279,91	2
Сварочное	04.05.2016 23:59:59	Дилер	345 478,07	369 067,19	7
Сварочное	04.05.2016 23:59:59	Розница	1 215 923,82	2 075 615,36	5
Химическое	04.05.2016 23:59:59	Розница	258 649,27	254 482,99	2
ЗЧ и РМ	05.05.2016 23:59:59	Дилер	111 211,30	113 844,31	8
ЗЧ и РМ	05.05.2016 23:59:59	КПК		62 858,39	1
ЗЧ и РМ	05.05.2016 23:59:59	Розница	130 508,00	135 355,75	11
Компрессорное	05.05.2016 23:59:59	Дилер	85 901,45	85 901,45	2
Компрессорное	05.05.2016 23:59:59	Розница	252 060,97	261 702,84	3
Насосное	05.05.2016 23:59:59	Дилер	229 486,35	743 193,10	7
Насосное	05.05.2016 23:59:59	Розница	486 814,56	622 324,91	15
Подготовка поверхности	05.05.2016 23:59:59	Дилер	13 500,00	13 500,00	1
Подготовка поверхности	05.05.2016 23:59:59	Розница	24 000,00	24 000,00	1
