
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
Компрессорное	PУТЕКТОР	10.06.2016 23:59:59	Дилер	24 382,92	23 418,06	1	1
Насосное	PУТЕКТОР	10.06.2016 23:59:59	Дилер	1 387 835,02	1 010 969,46	9	6
Подготовка поверхности	PУТЕКТОР	10.06.2016 23:59:59	Дилер	20 700,00	20 700,00	1	1
Сварочное	PУТЕКТОР	10.06.2016 23:59:59	Дилер	421 592,21	335 178,00	3	1
Строительное	PУТЕКТОР	10.06.2016 23:59:59	Дилер	375 926,31	375 926,31	1	1
Химическое	PУТЕКТОР	10.06.2016 23:59:59	Дилер	115 789,82	117 743,54	1	1
Дуговая сварка.	Рутектор	10.06.2016 23:59:59	КПК	19 403,91	19 403,60	1	1
НГО	Рутектор	10.06.2016 23:59:59	КПК	3 371 648,63	3 371 645,55	1	1
АТП	PУТЕКТОР	10.06.2016 23:59:59	Розница	73 070,37	73 697,38	1	1
Дуговая сварка.	PУТЕКТОР	10.06.2016 23:59:59	Розница	225 613,01	225 612,56	3	3
ЗЧ и РМ	PУТЕКТОР	10.06.2016 23:59:59	Розница	511 775,28	494 294,27	18	14
ЗЧ и РМ	Рутектор	10.06.2016 23:59:59	Розница	16 426,62	16 426,62	1	1
Компрессорное	PУТЕКТОР	10.06.2016 23:59:59	Розница	1 071 576,07	957 561,99	6	5
Насосное	PУТЕКТОР	10.06.2016 23:59:59	Розница	779 489,81	446 147,28	12	9
Подготовка поверхности	PУТЕКТОР	10.06.2016 23:59:59	Розница	292 618,00	293 218,00	5	5
Сварочное	PУТЕКТОР	10.06.2016 23:59:59	Розница	2 893 808,75	1 180 520,44	8	6
Строительное	PУТЕКТОР	10.06.2016 23:59:59	Розница	245 854,32	245 854,32	2	2
Химическое	PУТЕКТОР	10.06.2016 23:59:59	Розница	750 788,46	519 978,38	5	2
ЗЧ и РМ	PУТЕКТОР	14.06.2016 23:59:59	Дилер	222 342,89	151 034,50	10	7
Компрессорное	PУТЕКТОР	14.06.2016 23:59:59	Дилер	137 740,43	58 618,97	3	2
Насосное	PУТЕКТОР	14.06.2016 23:59:59	Дилер	1 188 165,30	1 090 296,21	14	13
Подготовка поверхности	PУТЕКТОР	14.06.2016 23:59:59	Дилер	116 200,00		1	
Сварочное	PУТЕКТОР	14.06.2016 23:59:59	Дилер	147 313,52	54 078,79	6	2
Химическое	PУТЕКТОР	14.06.2016 23:59:59	Дилер	344 421,74	133 134,74	3	2
Дуговая сварка.	Рутектор	14.06.2016 23:59:59	КПК	1 566 961,66		1	
Автосервис	PУТЕКТОР	14.06.2016 23:59:59	Розница	15 500,00	15 500,00	2	2
АТП	PУТЕКТОР	14.06.2016 23:59:59	Розница	302 184,96	299 674,00	1	1
Дуговая сварка.	PУТЕКТОР	14.06.2016 23:59:59	Розница	30 351,23	30 351,23	2	2
ЗЧ и РМ	PУТЕКТОР	14.06.2016 23:59:59	Розница	565 700,46	543 564,50	15	13
ЗЧ и РМ	Рутектор	14.06.2016 23:59:59	Розница	105 714,21	105 714,21	3	3
Компрессорное	PУТЕКТОР	14.06.2016 23:59:59	Розница	1 862 613,85	182 978,84	6	4
Металлообработка	PУТЕКТОР	14.06.2016 23:59:59	Розница	210 789,79	212 959,01	1	1
Насосное	PУТЕКТОР	14.06.2016 23:59:59	Розница	621 624,09	50 456,16	8	2
Подготовка поверхности	PУТЕКТОР	14.06.2016 23:59:59	Розница	429 444,79	430 644,79	6	6
Сварочное	PУТЕКТОР	14.06.2016 23:59:59	Розница	47 730,55	3 181,74	4	1
Строительное	PУТЕКТОР	14.06.2016 23:59:59	Розница	7 540,00	7 540,00	1	1
Химическое	PУТЕКТОР	14.06.2016 23:59:59	Розница	164 208,44	164 208,36	3	3
ЗЧ и РМ	PУТЕКТОР	15.06.2016 23:59:59	Дилер	251 751,49	213 588,13	12	11
ЗЧ и РМ	Рутектор	15.06.2016 23:59:59	Дилер	17 237,25	17 237,25	1	1
Компрессорное	PУТЕКТОР	15.06.2016 23:59:59	Дилер	241 453,78	92 919,99	6	3
Насосное	PУТЕКТОР	15.06.2016 23:59:59	Дилер	401 232,72	391 776,30	11	10
Сварочное	PУТЕКТОР	15.06.2016 23:59:59	Дилер	2 069 162,14	194 071,45	5	2
НГО	PУТЕКТОР	15.06.2016 23:59:59	КПК	2 808 953,61	2 710 498,62	1	1
Автосервис	PУТЕКТОР	15.06.2016 23:59:59	Розница	82 000,00	82 000,00	2	2
Дуговая сварка.	PУТЕКТОР	15.06.2016 23:59:59	Розница	400,00	400,00	1	1
ЗЧ и РМ	PУТЕКТОР	15.06.2016 23:59:59	Розница	143 882,26	121 067,88	16	11
ЗЧ и РМ	Рутектор	15.06.2016 23:59:59	Розница	13 365,98	12 798,93	1	1
Компрессорное	PУТЕКТОР	15.06.2016 23:59:59	Розница	1 117 161,11	259 661,11	7	5
Компрессорное	Рутектор	15.06.2016 23:59:59	Розница	627 751,62	627 751,62	1	1
Насосное	PУТЕКТОР	15.06.2016 23:59:59	Розница	1 062 227,93	197 329,04	15	5
Подготовка поверхности	PУТЕКТОР	15.06.2016 23:59:59	Розница	195 817,52	195 817,52	5	5
Сварочное	PУТЕКТОР	15.06.2016 23:59:59	Розница	2 612 853,01	2 175 010,26	8	6
Химическое	PУТЕКТОР	15.06.2016 23:59:59	Розница	126 351,98		3	
Дуговая сварка.	PУТЕКТОР	16.06.2016 23:59:59	Дилер	328 028,98		1	
ЗЧ и РМ	PУТЕКТОР	16.06.2016 23:59:59	Дилер	139 717,94	136 765,63	11	10
Компрессорное	PУТЕКТОР	16.06.2016 23:59:59	Дилер	148 000,00	148 000,00	2	2
Насосное	PУТЕКТОР	16.06.2016 23:59:59	Дилер	628 283,08	626 014,73	10	10
Сварочное	PУТЕКТОР	16.06.2016 23:59:59	Дилер	181 103,89	116 613,37	6	5
Строительное	PУТЕКТОР	16.06.2016 23:59:59	Дилер	2 380,00	2 380,00	1	1
Химическое	PУТЕКТОР	16.06.2016 23:59:59	Дилер	65 928,56	64 733,09	1	1
ЗЧ и РМ	Рутектор	16.06.2016 23:59:59	КПК	182 397,90	182 397,90	1	1
Автосервис	PУТЕКТОР	16.06.2016 23:59:59	Розница	5 500,00	5 500,00	1	1
ЗЧ и РМ	PУТЕКТОР	16.06.2016 23:59:59	Розница	403 163,40	347 655,74	15	13
ЗЧ и РМ	Рутектор	16.06.2016 23:59:59	Розница	12 120,00	12 120,00	1	1
Компрессорное	PУТЕКТОР	16.06.2016 23:59:59	Розница	840 235,89	549 786,56	8	6
Металлообработка	PУТЕКТОР	16.06.2016 23:59:59	Розница	110 944,00	110 944,00	1	1
Насосное	PУТЕКТОР	16.06.2016 23:59:59	Розница	1 388 536,97	585 269,83	14	6
Сварочное	PУТЕКТОР	16.06.2016 23:59:59	Розница	10 060,35	10 060,35	1	1
Химическое	PУТЕКТОР	16.06.2016 23:59:59	Розница	127 613,48	126 354,00	2	2
Дуговая сварка.	PУТЕКТОР	17.06.2016 23:59:59	Дилер	369 814,01	356 278,66	1	1
ЗЧ и РМ	PУТЕКТОР	17.06.2016 23:59:59	Дилер	66 752,45	66 483,25	5	5
Компрессорное	PУТЕКТОР	17.06.2016 23:59:59	Дилер	113 587,39	66 880,59	4	3
Насосное	PУТЕКТОР	17.06.2016 23:59:59	Дилер	1 814 026,84	276 869,35	7	5
Подготовка поверхности	PУТЕКТОР	17.06.2016 23:59:59	Дилер	17 200,00	17 200,00	1	1
Сварочное	PУТЕКТОР	17.06.2016 23:59:59	Дилер	11 849,66	11 740,32	1	1
Строительное	PУТЕКТОР	17.06.2016 23:59:59	Дилер	60 257,62	58 697,27	1	1
Химическое	PУТЕКТОР	17.06.2016 23:59:59	Дилер	69 939,73	68 558,01	1	1
ЗЧ и РМ	Рутектор	17.06.2016 23:59:59	КПК	662 283,25	662 283,25	1	1
Насосное	Рутектор	17.06.2016 23:59:59	КПК	186 800,00	16 800,00	2	1
Сварочное	PУТЕКТОР	17.06.2016 23:59:59	КПК	68 245,48	76 245,48	1	1
Сварочное	Рутектор	17.06.2016 23:59:59	КПК	177 490,96	177 490,96	1	1
ЗЧ и РМ	PУТЕКТОР	17.06.2016 23:59:59	Розница	129 063,18	90 072,13	14	11
Компрессорное	PУТЕКТОР	17.06.2016 23:59:59	Розница	40 093,56	40 093,56	1	1
Компрессорное	Рутектор	17.06.2016 23:59:59	Розница	760 000,00	760 000,00	1	1
Насосное	PУТЕКТОР	17.06.2016 23:59:59	Розница	246 506,04	105 740,40	3	2
Подготовка поверхности	PУТЕКТОР	17.06.2016 23:59:59	Розница	965,97	965,97	1	1
Сварочное	PУТЕКТОР	17.06.2016 23:59:59	Розница	799 672,79	225 433,75	7	4
Строительное	PУТЕКТОР	17.06.2016 23:59:59	Розница	54 336,04	54 336,04	1	1
ЗЧ и РМ	PУТЕКТОР	20.06.2016 23:59:59	Дилер	181 173,72	143 959,87	11	8
Компрессорное	PУТЕКТОР	20.06.2016 23:59:59	Дилер	2 079 122,73	5 750,41	4	1
Насосное	PУТЕКТОР	20.06.2016 23:59:59	Дилер	343 246,19	339 993,14	6	6
Подготовка поверхности	PУТЕКТОР	20.06.2016 23:59:59	Дилер	112 407,82	113 299,71	2	2
Сварочное	PУТЕКТОР	20.06.2016 23:59:59	Дилер	682 198,50	28 486,89	4	2
Строительное	PУТЕКТОР	20.06.2016 23:59:59	Дилер	66 944,92	65 625,45	1	1
Химическое	PУТЕКТОР	20.06.2016 23:59:59	Дилер	635 389,63	628 637,62	1	1
Насосное	Рутектор	20.06.2016 23:59:59	КПК	214 195,00	214 195,00	1	1
Подготовка поверхности	PУТЕКТОР	20.06.2016 23:59:59	КПК	452 505,46		1	
Автосервис	PУТЕКТОР	20.06.2016 23:59:59	Розница	55 000,00		1	
Дуговая сварка.	PУТЕКТОР	20.06.2016 23:59:59	Розница	1 090 049,82	38 963,28	3	2
ЗЧ и РМ	PУТЕКТОР	20.06.2016 23:59:59	Розница	249 515,31	78 605,46	13	8
Компрессорное	PУТЕКТОР	20.06.2016 23:59:59	Розница	814 660,75	545 560,75	12	9
Металлообработка	PУТЕКТОР	20.06.2016 23:59:59	Розница	467 847,32	459 445,38	1	1
Насосное	PУТЕКТОР	20.06.2016 23:59:59	Розница	1 223 604,36	332 208,59	10	7
Насосное	Рутектор	20.06.2016 23:59:59	Розница	54 807,28	54 807,28	1	1
Подготовка поверхности	PУТЕКТОР	20.06.2016 23:59:59	Розница	1 582 962,58	662 987,90	7	6
Сварочное	PУТЕКТОР	20.06.2016 23:59:59	Розница	126 644,20	102 569,61	3	1
Строительное	PУТЕКТОР	20.06.2016 23:59:59	Розница	418 445,43	11 154,00	2	1
Химическое	PУТЕКТОР	20.06.2016 23:59:59	Розница	84 038,93	62 836,07	2	1
ЗЧ и РМ	PУТЕКТОР	21.06.2016 23:59:59	Дилер	93 482,61	80 995,77	14	12
Компрессорное	PУТЕКТОР	21.06.2016 23:59:59	Дилер	122 460,00		1	
Насосное	PУТЕКТОР	21.06.2016 23:59:59	Дилер	522 027,73	497 860,25	9	8
Сварочное	PУТЕКТОР	21.06.2016 23:59:59	Дилер	27 038,20	27 038,20	1	1
Химическое	PУТЕКТОР	21.06.2016 23:59:59	Дилер	191 438,41	188 422,65	1	1
Дуговая сварка.	Рутектор	21.06.2016 23:59:59	КПК	1 103 831,70		1	
АТП	PУТЕКТОР	21.06.2016 23:59:59	Розница	82 968,29	81 178,26	1	1
Дуговая сварка.	PУТЕКТОР	21.06.2016 23:59:59	Розница	156 464,05	156 521,12	1	1
ЗЧ и РМ	PУТЕКТОР	21.06.2016 23:59:59	Розница	1 951 812,44	686 769,21	21	17
ЗЧ и РМ	Рутектор	21.06.2016 23:59:59	Розница	14 400,50	14 400,50	1	1
Компрессорное	PУТЕКТОР	21.06.2016 23:59:59	Розница	1 031 199,00	17 600,00	6	1
Насосное	PУТЕКТОР	21.06.2016 23:59:59	Розница	1 224 049,09	678 072,27	12	2
Подготовка поверхности	PУТЕКТОР	21.06.2016 23:59:59	Розница	478 000,00	478 000,00	1	1
Сварочное	PУТЕКТОР	21.06.2016 23:59:59	Розница	861 092,36	571 683,43	9	7
Сварочное	Рутектор	21.06.2016 23:59:59	Розница	3 748 128,80	3 733 358,60	1	1
Химическое	PУТЕКТОР	21.06.2016 23:59:59	Розница	114 051,05	104 174,91	3	2
ЗЧ и РМ	PУТЕКТОР	22.06.2016 23:59:59	Дилер	24 371,73	18 045,20	4	2
Компрессорное	PУТЕКТОР	22.06.2016 23:59:59	Дилер	316 642,50	122 190,06	4	2
Насосное	PУТЕКТОР	22.06.2016 23:59:59	Дилер	1 084 773,08	970 232,02	20	19
Насосное	Рутектор	22.06.2016 23:59:59	Дилер	26 137,63	26 133,09	1	1
Подготовка поверхности	PУТЕКТОР	22.06.2016 23:59:59	Дилер	113 664,50	34 400,00	3	2
Сварочное	PУТЕКТОР	22.06.2016 23:59:59	Дилер	1 766 812,22	1 751 358,63	6	5
Строительное	PУТЕКТОР	22.06.2016 23:59:59	Дилер	9 060,00	9 060,00	1	1
Химическое	PУТЕКТОР	22.06.2016 23:59:59	Дилер	147 756,60		1	
НГО	Рутектор	22.06.2016 23:59:59	КПК	2 013 551,59	1 254 625,49	2	1
Дуговая сварка.	PУТЕКТОР	22.06.2016 23:59:59	Розница	39 741,60	39 741,60	1	1
ЗЧ и РМ	PУТЕКТОР	22.06.2016 23:59:59	Розница	192 195,50	101 144,73	22	15
Компрессорное	PУТЕКТОР	22.06.2016 23:59:59	Розница	2 283 155,45	1 019 490,05	13	7
Насосное	PУТЕКТОР	22.06.2016 23:59:59	Розница	606 385,39	215 496,63	7	5
Насосное	Рутектор	22.06.2016 23:59:59	Розница	1 396 045,07	1 375 430,41	1	1
Подготовка поверхности	PУТЕКТОР	22.06.2016 23:59:59	Розница	569 225,06	500 434,38	3	2
Сварочное	PУТЕКТОР	22.06.2016 23:59:59	Розница	19 611,84	19 611,84	1	1
Химическое	PУТЕКТОР	22.06.2016 23:59:59	Розница	10 396,82	10 396,82	1	1
ЗЧ и РМ	PУТЕКТОР	23.06.2016 23:59:59	Дилер	156 461,14	78 508,98	12	7
Компрессорное	PУТЕКТОР	23.06.2016 23:59:59	Дилер	68 722,79	19 040,00	3	1
Насосное	PУТЕКТОР	23.06.2016 23:59:59	Дилер	1 236 808,63	840 709,09	17	15
Подготовка поверхности	PУТЕКТОР	23.06.2016 23:59:59	Дилер	56 100,00		1	
Сварочное	PУТЕКТОР	23.06.2016 23:59:59	Дилер	571 579,46	1 637,78	3	1
Химическое	PУТЕКТОР	23.06.2016 23:59:59	Дилер	144 449,38	143 847,08	1	1
ЗЧ и РМ	Рутектор	23.06.2016 23:59:59	КПК	292 100,00	292 100,00	1	1
Дуговая сварка.	PУТЕКТОР	23.06.2016 23:59:59	Розница	43 259,40	43 259,40	2	2
ЗЧ и РМ	PУТЕКТОР	23.06.2016 23:59:59	Розница	433 567,24	316 997,03	14	13
ЗЧ и РМ	Рутектор	23.06.2016 23:59:59	Розница	19 567,04	19 567,04	1	1
Компрессорное	PУТЕКТОР	23.06.2016 23:59:59	Розница	2 406 891,06	782 629,36	10	3
Насосное	PУТЕКТОР	23.06.2016 23:59:59	Розница	1 230 326,28	482 245,96	15	7
Подготовка поверхности	PУТЕКТОР	23.06.2016 23:59:59	Розница	228 092,77	228 092,77	3	3
Сварочное	PУТЕКТОР	23.06.2016 23:59:59	Розница	340 184,17	333 187,10	2	2
Химическое	PУТЕКТОР	23.06.2016 23:59:59	Розница	777 391,98	392 798,05	2	1
ЗЧ и РМ	PУТЕКТОР	24.06.2016 23:59:59	Дилер	35 267,94	35 039,55	6	6
Компрессорное	PУТЕКТОР	24.06.2016 23:59:59	Дилер	492 952,49	66 500,00	3	1
Насосное	PУТЕКТОР	24.06.2016 23:59:59	Дилер	675 289,60	614 123,27	15	13
Подготовка поверхности	PУТЕКТОР	24.06.2016 23:59:59	Дилер	35 603,11	30 500,00	3	2
Сварочное	PУТЕКТОР	24.06.2016 23:59:59	Дилер	7 508,86	7 508,86	1	1
Химическое	PУТЕКТОР	24.06.2016 23:59:59	Дилер	81 416,51	68 090,09	2	1
ЗЧ и РМ	Рутектор	24.06.2016 23:59:59	КПК	445 400,00	445 399,40	1	1
Компрессорное	Рутектор	24.06.2016 23:59:59	КПК	81 000,00	81 000,00	1	1
Насосное	Рутектор	24.06.2016 23:59:59	КПК	302 230,00	302 229,97	2	2
Дуговая сварка.	PУТЕКТОР	24.06.2016 23:59:59	Розница	25 207,66	25 207,61	3	3
ЗЧ и РМ	PУТЕКТОР	24.06.2016 23:59:59	Розница	119 619,93	102 034,50	13	11
Компрессорное	PУТЕКТОР	24.06.2016 23:59:59	Розница	322 456,13	322 042,24	6	6
Насосное	PУТЕКТОР	24.06.2016 23:59:59	Розница	1 478 472,29	234 866,50	7	5
Сварочное	PУТЕКТОР	24.06.2016 23:59:59	Розница	1 978 872,85	324 813,06	7	2
Химическое	PУТЕКТОР	24.06.2016 23:59:59	Розница	141 502,73	138 440,25	2	2
ЗЧ и РМ	PУТЕКТОР	27.06.2016 23:59:59	Дилер	180 181,91	155 045,30	5	3
Компрессорное	PУТЕКТОР	27.06.2016 23:59:59	Дилер	841 465,06	777 901,83	7	6
Насосное	PУТЕКТОР	27.06.2016 23:59:59	Дилер	782 214,25	519 977,57	8	7
Сварочное	PУТЕКТОР	27.06.2016 23:59:59	Дилер	51 950,61	39 907,44	3	2
Строительное	PУТЕКТОР	27.06.2016 23:59:59	Дилер	39 300,00	39 300,00	1	1
ЗЧ и РМ	Рутектор	27.06.2016 23:59:59	КПК	35 276,27	35 276,23	1	1
Подготовка поверхности	Рутектор	27.06.2016 23:59:59	КПК	36 623,16	36 623,13	1	1
ЗЧ и РМ	PУТЕКТОР	27.06.2016 23:59:59	Розница	389 686,28	239 201,62	21	16
